name	DEN_1	DEN_2	BC	IDC	LBCC	ESS
Q0050	1	0.106719	0	0.001	0	0
YER142C	0.106719	0.0200546	8970.55	0.001	1.54852e-13	0
Q0080	1	0.0296554	0	6	0	0
YBL099W	0.0445371	0.0089807	104434	49	3.55954	0
YJR121W	0.0371555	0.0081843	154118	49	3.02267	0
Q0085	0.821429	0.0291038	6.52921	26	0.0676313	0
YDR298C	0.866667	0.0449591	57.3226	15	0.68505	0
YDR377W	0.904762	0.0291038	3.58815	22	0.024801	0
YKL016C	0.785714	0.0449591	189.487	23	7.40113	0
YML081C-A	0.857143	0.0284401	42.1003	22	0.251379	0
YPL078C	0.444444	0.0402994	2467.73	14	7.93769	0
Q0130	1	0.0296554	0	6	0	0
Q0250	0.666667	0.181818	297.876	0.001	2.17017e-10	0
YBR024W	0.5	0.0768421	5189.63	0.001	9.04698e-11	1
YBR037C	0.666667	0.150327	145.964	0.001	4.96935e-11	0
YER154W	0.285714	0.0231003	9318.85	0.001	7.58167e-13	0
Q0275	1	0.285714	0	0.001	0	0
R0020C	0.5	0.0516398	15.0209	0.001	5.34079e-14	0
YBL056W	0.133903	0.028173	10434.1	0.001	8.80201e-13	0
YBR217W	0.0518395	0.0130588	102135	2	0.00123181	0
YDR523C	0.0859903	0.0195048	17148.5	0.001	2.13421e-13	0
R0030W	1	0.0888889	0	0.001	0	0
YOR101W	0.380952	0.0451088	5446.57	0.001	8.59094e-12	0
YOR351C	0.0987805	0.0200235	21612.8	0.001	3.43199e-13	0
YAL001C	1	0.277778	0	4	0	1
YBR123C	0.277778	0.0679564	10914.3	20	517.251	1
YAL002W	0.472222	0.0480448	3514.27	8	4.52728	0
YCL018W	0.0368284	0.00757587	182400	0.001	2.21278e-14	0
YDR171W	0.0549974	0.0103261	45053	0.001	2.81712e-14	0
YGL206C	0.0509615	0.0108115	50310	10	0.0350304	0
YKR026C	0.051922	0.0158065	80681.9	32	8.56889	0
YLR148W	0.173684	0.028652	16901.3	22	21.0654	0
YLR396C	0.607143	0.0888889	227.395	20	68.9528	0
YMR231W	0.714286	0.117647	114.744	21	145.407	0
YPL045W	0.642857	0.113636	508.162	21	504.48	1
YAL003W	1	0.0432944	0	12	0	1
YBR118W	0.0481581	0.0094133	99670.7	32	1.23496	0
YKL081W	0.11954	0.0193508	11596.4	15	0.656006	0
YML064C	0.027864	0.0109777	262749	0.001	1.06323e-13	1
YAL004W	0.666667	0.0560492	48.9225	0.001	3.21881e-13	0
YGL181W	0.0686869	0.0126614	75570.2	0.001	1.334e-13	0
YML109W	0.139496	0.0159062	22989.8	0.001	2.05288e-13	0
YAL005C	0.216667	0.0225827	2968.36	0.001	1.67269e-13	0
YAR002W	0.406593	0.0110925	4236.3	5	0.00325967	0
YCL028W	0.130435	0.0156606	9726.58	0.001	7.63107e-14	1
YDR192C	0.122984	0.0142638	29074.4	23	1.80087	0
YHR069C	0.589744	0.0199336	1221.99	43	9.0464	1
YLR310C	0.0453834	0.0184141	95336.4	0.001	4.97464e-13	1
YLR335W	0.342105	0.0144048	2889.78	17	0.209125	0
YLR347C	0.0781421	0.012859	47347.1	13	0.22225	1
YNL007C	0.147059	0.0347403	4194.06	0.001	8.98377e-13	1
YNL064C	0.0413097	0.00813405	90780.8	0.001	1.64163e-14	0
YNL077W	0.333333	0.0569366	155.905	0.001	5.46142e-13	0
YOR098C	0.0705314	0.0123092	66551.9	11	0.143431	1
YOR151C	0.111395	0.0133519	36197.5	61	29.0875	1
YOR160W	0.288889	0.0189867	1443.33	0.001	5.41872e-14	1
YPL240C	0.09375	0.0127863	44905.4	0.001	1.12524e-13	0
YPR010C	0.150198	0.0241104	5852.08	19	2.0373	1
YAL007C	0.2	0.0315995	15695.6	12	5.40846	0
YAR002C-A	0.428571	0.0115544	8541.11	12	0.112738	0
YBR036C	0.27439	0.0375713	9243.88	1	0.00505415	0
YBR183W	0.334454	0.0380952	9520.77	0.001	6.70643e-12	0
YCL025C	0.214715	0.027277	18195	0.001	2.16272e-12	0
YDL054C	0.235294	0.0554662	7471.89	0.001	1.66401e-11	0
YDR087C	0.384615	0.0223064	3731.52	3	0.00959379	1
YDR101C	0.28655	0.0331243	4499.02	15	5.23818	0
YDR127W	0.16	0.0201011	8315.29	0.001	2.17207e-13	0
YEL002C	0.198381	0.0371209	16617.3	15	21.1254	1
YEL063C	0.194728	0.0272893	28972.8	0.001	3.12887e-12	0
YER110C	0.0604961	0.00991619	61677.9	7	0.0123746	0
YGL200C	0.203865	0.0269668	31132.4	27	66.0636	0
YGR060W	0.245098	0.0290141	27627.9	0.001	4.79874e-12	1
YHR026W	0.263815	0.0120343	38067.6	5	0.0263295	0
YHR110W	0.398693	0.0584944	811.006	0.001	3.78548e-12	0
YHR140W	0.274317	0.0151769	48198	0.001	7.01472e-13	0
YJL117W	0.281221	0.0131027	61332	0.001	5.08367e-13	0
YLR342W	0.0905797	0.0207109	19207.6	2	0.0025609	0
YML012W	0.381818	0.0690407	5831.6	24	699.356	0
YMR290C	0.271264	0.0140028	12050.3	0.001	1.25674e-13	1
YNL130C	0.318681	0.0596441	6201.95	0.001	2.50124e-11	0
YPL076W	0.260625	0.0222427	28573.2	0.001	1.82275e-12	1
YPL211W	0.30303	0.0325596	6510.27	1	0.00221718	1
YPL264C	0.31982	0.0316276	5324.4	0.001	1.70388e-12	0
YPR201W	0.257576	0.0652521	6804.66	0.001	3.17754e-11	0
YAL009W	0.285714	0.0306444	1925.44	1	0.000485139	0
YDL040C	0.5	0.0590298	211.445	8	0.657237	0
YDR211W	0.261438	0.0279009	4176.16	30	17.8641	1
YHR004C	0.666667	0.125	24.4984	1	0.00398737	0
YJL176C	0.318681	0.0211972	4393.27	28	6.20485	0
YAL010C	0.4	0.0424947	1390.2	0.001	1.81333e-12	0
YFL048C	0.309091	0.0787521	1287.48	0.001	1.53065e-11	0
YJL066C	0.0684551	0.0136342	29649.7	0.001	7.01357e-14	0
YMR203W	0.321429	0.0935961	289.246	9	5.20127	1
YPL235W	0.0649351	0.00980303	92896.8	28	1.22291	1
YAL011W	0.25641	0.0187511	5345.06	7	0.0581149	0
YBL007C	0.0435766	0.00894409	284825	22	0.845754	0
YDL181W	0.277778	0.0301713	3374.59	6	0.167783	0
YDR225W	0.113798	0.0165939	28594	7	0.0846239	0
YDR334W	0.404412	0.0282638	2998.68	23	9.4158	0
YER081W	0.0229811	0.0163081	257594	2	0.00334975	0
YGR002C	0.355731	0.0218225	6034.14	41	33.551	1
YHR158C	0.2	0.0142532	14264.9	3	0.00317917	0
YIR018W	0.333333	0.043712	5340.32	0.001	6.49904e-12	0
YNL107W	0.409524	0.0297072	5275.04	37	85.223	0
YOL012C	0.314286	0.0257678	8123.47	12	1.94501	0
YOR127W	0.230769	0.0148844	6402.86	0.001	7.25231e-14	0
YOR269W	0.164835	0.0255012	3000.48	0.001	2.09162e-13	0
YAL012W	0.333333	0.00946171	6775.21	0.001	1.81e-14	1
YBR055C	0.0391465	0.0152421	119361	88	171.864	1
YJR091C	0.00836299	0.00761702	1.03725e+06	0.001	2.92001e-14	0
YMR101C	1	0.333333	0	0.001	0	0
YMR300C	0.5	0.0685185	381.262	0.001	4.20171e-12	0
YPL149W	0.0997151	0.0277977	7902.82	2	0.00376414	0
YAL013W	0.666667	0.0792683	119.727	3	0.0850872	0
YGL061C	0.131579	0.0443356	10804.9	24	75.9367	1
YNL330C	0.168831	0.0277198	12875.2	51	170.246	0
