name	DEN_1	DEN_2	BC	IDC	LBCC	ESS
MEL1	1.0000	0.2500	0.0000	0.0010	0.0000	0
YJL092W	0.2500	0.0421	13266.7677	0.0010	0.0000	0
RRP13	0.0000	0.0000	0.0000	0.0010	0.0000	0
SSR1	0.6667	0.4000	303.7012	0.0010	0.0000	0
YOL132W	0.6667	0.2000	236.2232	0.0010	0.0000	0
YPL149W	0.6667	0.0979	4608.2113	2.0000	2.2562	0
YAL001C	1.0000	0.1595	0.0000	18.0000	0.0000	1
YBR123C	0.6429	0.0836	2679.2708	20.0000	673.5578	1
YDR362C	0.6071	0.0591	2991.9956	18.0000	129.0428	1
YGR047C	0.4000	0.1812	6417.1839	22.0000	29449.6203	1
YOR110W	0.2456	0.0252	27626.2268	27.0000	53.9133	1
YPL007C	1.0000	0.1595	0.0000	10.0000	0.0000	1
YAL003W	0.5278	0.1298	4846.7576	28.0000	15937.5160	1
YBR025C	0.2727	0.0593	8555.8987	0.0010	0.0000	0
YBR118W	0.4444	0.0674	7150.4708	25.0000	1026.5271	0
YKL081W	0.3788	0.1050	8926.8444	29.0000	10040.8554	0
YKR084C	0.7143	0.1621	864.6389	15.0000	1437.5861	0
YOL139C	0.2359	0.0503	32397.6556	60.0000	10596.2094	1
YPL048W	1.0000	0.3187	0.0000	15.0000	0.0000	0
YPL226W	1.0000	0.3590	0.0000	0.0010	0.0000	0
YPR080W	0.9333	0.2426	143.3214	25.0000	7245.4921	0
YAL004W	0.6667	0.0463	594.8697	0.0010	0.0000	0
YGL181W	0.0603	0.0361	136783.7649	0.0010	0.0000	0
YML109W	0.1376	0.0851	46667.5147	0.0010	0.0000	0
YAL005C	0.2576	0.0355	7865.8331	0.0010	0.0000	0
YAR002W	0.2364	0.0271	8559.7092	2.0000	0.0088	0
YDR192C	0.1149	0.0208	68735.8459	23.0000	17.9942	0
YHR069C	0.6417	0.2138	1175.0301	52.0000	221543.2374	1
YLR310C	0.1765	0.0565	47203.6932	0.0010	0.0000	1
YLR335W	0.2810	0.0159	9091.6043	17.0000	0.7985	0
YLR347C	0.0993	0.0282	120499.5016	9.0000	5.4800	1
YNL007C	0.5000	0.0714	430.6649	0.0010	0.0000	1
YNL064C	0.1818	0.0958	7173.2758	0.0010	0.0000	0
YOR098C	0.0676	0.0203	83178.8136	12.0000	1.6455	1
YOR160W	0.3214	0.0198	1127.0591	0.0010	0.0000	1
YPL240C	0.1871	0.0311	24436.1977	0.0010	0.0000	0
YAL007C	1.0000	0.5818	0.0000	8.0000	0.0000	0
YGL200C	0.6889	0.1161	2632.7309	26.0000	5783.5789	0
YML012W	0.6889	0.1333	3351.9570	26.0000	12826.9266	0
YAL011W	0.3333	0.0255	9581.9692	0.0010	0.0000	0
YDL181W	0.5286	0.0163	14947.0258	33.0000	20.1592	0
YER081W	0.0224	0.0402	358956.7207	1.0000	0.0209	0
YHR158C	0.1818	0.0171	17335.0458	0.0010	0.0000	0
YIR018W	0.4000	0.1176	5156.2073	0.0010	0.0000	0
YOR127W	0.2667	0.0416	4730.3847	0.0010	0.0000	0
YOR269W	0.2500	0.0595	3226.3098	0.0010	0.0000	0
YAL012W	0.4286	0.0076	12879.6348	0.0010	0.0000	1
YER003C	1.0000	0.4286	0.0000	0.0010	0.0000	1
YGR061C	0.6667	0.0778	540.0186	0.0010	0.0000	0
YGR204W	0.2692	0.0180	18409.9152	0.0010	0.0000	0
YJR091C	0.0076	0.0139	1649781.9910	0.0010	0.0000	0
YMR101C	1.0000	0.4286	0.0000	0.0010	0.0000	0
YMR205C	0.2167	0.0345	20835.6905	1.0000	0.0064	0
YAL013W	0.6667	0.0797	232.9212	3.0000	0.1688	0
YDR207C	0.1637	0.0166	35346.9411	24.0000	6.1445	0
YGL061C	0.1368	0.0965	23174.0249	24.0000	3798.2879	1
YAL014C	0.6667	0.0628	1149.5606	0.0010	0.0000	0
YER133W	0.1069	0.0408	108508.6119	17.0000	157.1972	1
YIL034C	0.1053	0.0961	39042.1389	11.0000	465.8884	0
YAL015C	0.0000	0.0000	0.0000	0.0010	0.0000	0
YAL016W	0.7333	0.1208	1360.2731	6.0000	45.8672	0
YDL134C	0.4242	0.0203	12056.1623	6.0000	0.1876	0
YDL188C	0.7500	0.0678	595.6013	3.0000	0.2545	0
YGL190C	0.3788	0.0857	9281.7297	6.0000	41.0270	0
YMR109W	0.1914	0.0149	36366.8881	15.0000	1.1577	0
YNL127W	0.4000	0.1691	473.0892	1.0000	0.1548	0
YAL017W	0.6667	0.0887	44.7451	0.0010	0.0000	0
YAL029C	0.5357	0.0444	1921.5030	9.0000	2.9091	0
YCL027W	0.0862	0.0337	64676.7946	0.0010	0.0000	0
YAL018C	1.0000	0.6064	0.0000	0.0010	0.0000	0
YLR264W	0.6064	0.0143	109199.9420	391.0000	163644.3677	0
YAL019W	1.0000	0.0669	0.0000	0.0010	0.0000	0
YJL124C	0.0669	0.0398	109252.8199	6.0000	3.9537	0
YAL021C	0.5385	0.0638	3495.4398	33.0000	1121.7883	0
YDL160C	0.2754	0.0157	49869.1179	43.0000	66.1117	0
YDR443C	0.4719	0.0261	4859.8995	28.0000	23.1958	0
YFL028C	0.7692	0.0996	204.4204	53.0000	2303.1347	0
YGR092W	0.4771	0.0599	8908.4072	37.0000	2777.7587	0
YIL106W	0.5000	0.0864	14960.8800	37.0000	21101.3779	1
YJR122W	0.7143	0.0769	1290.9405	36.0000	1501.7227	0
YKR036C	0.7238	0.0964	377.4926	54.0000	3715.1212	0
YLR180W	0.1833	0.1326	17705.0057	0.0010	0.0000	0
YNL025C	0.3400	0.0200	31469.1316	26.0000	30.3625	0
YNR052C	0.3977	0.0222	18878.5803	50.0000	227.3509	1
YPL042C	0.3860	0.0386	9733.6480	21.0000	77.3956	0
YAL022C	1.0000	0.6667	0.0000	0.0010	0.0000	0
YGL132W	0.6667	0.6667	1.0000	0.0010	0.0000	0
YAL024C	1.0000	0.1622	0.0000	0.0010	0.0000	0
YIR009W	0.1622	0.0359	72907.4405	41.0000	1360.4506	0
YAL025C	0.7333	0.4232	4542.0000	0.0010	0.0000	1
YHR052W	0.5228	0.0522	14541.3825	50.0000	7059.4117	1
YJR044C	1.0000	0.7333	0.0000	0.0010	0.0000	0
YKR081C	0.6808	0.0764	3467.8987	0.0010	0.0000	1
YNL110C	0.7273	0.0507	18055.1720	0.0010	0.0000	1
YOR272W	0.6327	0.0803	16531.1151	6.0000	94.0878	1
YAL026C	0.5000	0.2842	4676.0105	0.0010	0.0000	0
YDL192W	0.3750	0.0388	20843.6803	26.0000	312.2472	0
YOR153W	1.0000	0.5000	0.0000	0.0010	0.0000	0
